Year,Primary Type,Count
2001,ARSON,1011
2001,ASSAULT,31388
2001,BATTERY,93472
2001,BURGLARY,26014
2001,CONCEALED CARRY LICENSE VIOLATION,1
2001,CRIM SEXUAL ASSAULT,1770
2001,CRIMINAL DAMAGE,55865
2001,CRIMINAL SEXUAL ASSAULT,47
2001,CRIMINAL TRESPASS,13242
2001,DECEPTIVE PRACTICE,14959
2001,DOMESTIC VIOLENCE,1
2001,GAMBLING,934
2001,HOMICIDE,667
2001,INTERFERENCE WITH PUBLIC OFFICER,406
2001,INTIMIDATION,280
2001,KIDNAPPING,933
2001,LIQUOR LAW VIOLATION,1637
2001,MOTOR VEHICLE THEFT,27556
2001,NARCOTICS,50568
2001,OBSCENITY,19
2001,OFFENSE INVOLVING CHILDREN,2268
2001,OTHER NARCOTIC VIOLATION,6
2001,OTHER OFFENSE,29669
2001,PROSTITUTION,6026
2001,PUBLIC INDECENCY,9
2001,PUBLIC PEACE VIOLATION,2750
2001,RITUALISM,8
2001,ROBBERY,18441
2001,SEX OFFENSE,2238
2001,STALKING,204
2001,THEFT,99291
2001,WEAPONS VIOLATION,4278
2002,ARSON,1032
2002,ASSAULT,31524
2002,BATTERY,94152
2002,BURGLARY,25623
2002,CRIM SEXUAL ASSAULT,1798
2002,CRIMINAL DAMAGE,55942
2002,CRIMINAL SEXUAL ASSAULT,42
2002,CRIMINAL TRESPASS,13881
2002,DECEPTIVE PRACTICE,13740
2002,GAMBLING,971
2002,HOMICIDE,658
2002,INTERFERENCE WITH PUBLIC OFFICER,361
2002,INTIMIDATION,337
2002,KIDNAPPING,829
2002,LIQUOR LAW VIOLATION,1414
2002,MOTOR VEHICLE THEFT,25121
2002,NARCOTICS,51789
2002,OBSCENITY,26
2002,OFFENSE INVOLVING CHILDREN,2596
2002,OTHER NARCOTIC VIOLATION,5
2002,OTHER OFFENSE,32602
2002,PROSTITUTION,6408
2002,PUBLIC INDECENCY,8
2002,PUBLIC PEACE VIOLATION,2457
2002,RITUALISM,2
2002,ROBBERY,18523
2002,SEX OFFENSE,2173
2002,STALKING,200
2002,THEFT,98335
2002,WEAPONS VIOLATION,4282
2003,ARSON,955
2003,ASSAULT,29477
2003,BATTERY,88380
2003,BURGLARY,25157
2003,CRIM SEXUAL ASSAULT,1563
2003,CRIMINAL DAMAGE,55011
2003,CRIMINAL SEXUAL ASSAULT,55
2003,CRIMINAL TRESPASS,14807
2003,DECEPTIVE PRACTICE,13465
2003,GAMBLING,1088
2003,HOMICIDE,604
2003,INTERFERENCE WITH PUBLIC OFFICER,409
2003,INTIMIDATION,364
2003,KIDNAPPING,705
2003,LIQUOR LAW VIOLATION,1311
2003,MOTOR VEHICLE THEFT,22749
2003,NARCOTICS,54288
2003,OBSCENITY,16
2003,OFFENSE INVOLVING CHILDREN,3047
2003,OTHER NARCOTIC VIOLATION,2
2003,OTHER OFFENSE,31149
2003,PROSTITUTION,6214
2003,PUBLIC INDECENCY,6
2003,PUBLIC PEACE VIOLATION,2430
2003,RITUALISM,2
2003,ROBBERY,17332
2003,SEX OFFENSE,2079
2003,STALKING,247
2003,THEFT,98876
2003,WEAPONS VIOLATION,4211
2004,ARSON,778
2004,ASSAULT,28850
2004,BATTERY,87135
2004,BURGLARY,24564
2004,CRIM SEXUAL ASSAULT,1524
2004,CRIMINAL DAMAGE,53164
2004,CRIMINAL SEXUAL ASSAULT,60
2004,CRIMINAL TRESPASS,15913
2004,DECEPTIVE PRACTICE,13263
2004,GAMBLING,1122
2004,HOMICIDE,455
2004,INTERFERENCE WITH PUBLIC OFFICER,531
2004,INTIMIDATION,349
2004,KIDNAPPING,482
2004,LIQUOR LAW VIOLATION,985
2004,MOTOR VEHICLE THEFT,22805
2004,NARCOTICS,57060
2004,OBSCENITY,13
2004,OFFENSE INVOLVING CHILDREN,3106
2004,OTHER NARCOTIC VIOLATION,9
2004,OTHER OFFENSE,29533
2004,PROSTITUTION,7476
2004,PUBLIC INDECENCY,9
2004,PUBLIC PEACE VIOLATION,2495
2004,RITUALISM,1
2004,ROBBERY,15978
2004,SEX OFFENSE,1806
2004,STALKING,215
2004,THEFT,95464
2004,WEAPONS VIOLATION,4298
2005,ARSON,691
2005,ASSAULT,27067
2005,BATTERY,83964
2005,BURGLARY,25503
2005,CRIM SEXUAL ASSAULT,1509
2005,CRIMINAL DAMAGE,54548
2005,CRIMINAL SEXUAL ASSAULT,53
2005,CRIMINAL TRESPASS,16655
2005,DECEPTIVE PRACTICE,13593
2005,GAMBLING,1078
2005,HOMICIDE,453
2005,INTERFERENCE WITH PUBLIC OFFICER,615
2005,INTIMIDATION,258
2005,KIDNAPPING,389
2005,LIQUOR LAW VIOLATION,1005
2005,MOTOR VEHICLE THEFT,22497
2005,NARCOTICS,56234
2005,OBSCENITY,19
2005,OFFENSE INVOLVING CHILDREN,2910
2005,OTHER NARCOTIC VIOLATION,9
2005,OTHER OFFENSE,28028
2005,PROSTITUTION,6124
2005,PUBLIC INDECENCY,4
2005,PUBLIC PEACE VIOLATION,2730
2005,RITUALISM,2
2005,ROBBERY,16047
2005,SEX OFFENSE,1821
2005,STALKING,192
2005,THEFT,85684
2005,WEAPONS VIOLATION,4106
2006,ARSON,726
2006,ASSAULT,25945
2006,BATTERY,80666
2006,BURGLARY,24324
2006,CRIM SEXUAL ASSAULT,1426
2006,CRIMINAL DAMAGE,57124
2006,CRIMINAL SEXUAL ASSAULT,62
2006,CRIMINAL TRESPASS,14505
2006,DECEPTIVE PRACTICE,13612
2006,GAMBLING,1368
2006,HOMICIDE,478
2006,INTERFERENCE WITH PUBLIC OFFICER,758
2006,INTIMIDATION,276
2006,KIDNAPPING,339
2006,LIQUOR LAW VIOLATION,1135
2006,MOTOR VEHICLE THEFT,21818
2006,NARCOTICS,55813
2006,OBSCENITY,17
2006,OFFENSE INVOLVING CHILDREN,2789
2006,OTHER NARCOTIC VIOLATION,9
2006,OTHER OFFENSE,27101
2006,PROSTITUTION,7034
2006,PUBLIC INDECENCY,4
2006,PUBLIC PEACE VIOLATION,3068
2006,RITUALISM,7
2006,ROBBERY,15969
2006,SEX OFFENSE,1576
2006,STALKING,186
2006,THEFT,86242
2006,WEAPONS VIOLATION,3821
2007,ARSON,712
2007,ASSAULT,26313
2007,BATTERY,79595
2007,BURGLARY,24858
2007,CRIM SEXUAL ASSAULT,1497
2007,CRIMINAL DAMAGE,53749
2007,CRIMINAL SEXUAL ASSAULT,69
2007,CRIMINAL TRESPASS,13699
2007,DECEPTIVE PRACTICE,14181
2007,GAMBLING,1409
2007,HOMICIDE,448
2007,INTERFERENCE WITH PUBLIC OFFICER,677
2007,INTIMIDATION,255
2007,KIDNAPPING,329
2007,LIQUOR LAW VIOLATION,1170
2007,MOTOR VEHICLE THEFT,18573
2007,NARCOTICS,54454
2007,OBSCENITY,12
2007,OFFENSE INVOLVING CHILDREN,2921
2007,OTHER NARCOTIC VIOLATION,12
2007,OTHER OFFENSE,26863
2007,PROSTITUTION,6087
2007,PUBLIC INDECENCY,5
2007,PUBLIC PEACE VIOLATION,3315
2007,RITUALISM,1
2007,ROBBERY,15450
2007,SEX OFFENSE,1531
2007,STALKING,213
2007,THEFT,85156
2007,WEAPONS VIOLATION,3554
2008,ARSON,644
2008,ASSAULT,25448
2008,BATTERY,75930
2008,BURGLARY,26218
2008,CRIM SEXUAL ASSAULT,1499
2008,CRIMINAL DAMAGE,52843
2008,CRIMINAL SEXUAL ASSAULT,67
2008,CRIMINAL TRESPASS,12310
2008,DECEPTIVE PRACTICE,14943
2008,GAMBLING,1199
2008,HOMICIDE,513
2008,INTERFERENCE WITH PUBLIC OFFICER,580
2008,INTIMIDATION,261
2008,KIDNAPPING,359
2008,LIQUOR LAW VIOLATION,912
2008,MOTOR VEHICLE THEFT,18881
2008,NARCOTICS,46506
2008,OBSCENITY,13
2008,OFFENSE INVOLVING CHILDREN,2676
2008,OTHER NARCOTIC VIOLATION,12
2008,OTHER OFFENSE,26532
2008,PROSTITUTION,5141
2008,PUBLIC INDECENCY,4
2008,PUBLIC PEACE VIOLATION,3013
2008,ROBBERY,16703
2008,SEX OFFENSE,1505
2008,STALKING,190
2008,THEFT,88437
2008,WEAPONS VIOLATION,3877
2009,ARSON,616
2009,ASSAULT,22861
2009,BATTERY,68460
2009,BURGLARY,26767
2009,CRIM SEXUAL ASSAULT,1388
2009,CRIMINAL DAMAGE,47725
2009,CRIMINAL SEXUAL ASSAULT,63
2009,CRIMINAL TRESPASS,10851
2009,DECEPTIVE PRACTICE,13896
2009,GAMBLING,991
2009,HOMICIDE,461
2009,HUMAN TRAFFICKING,1
2009,INTERFERENCE WITH PUBLIC OFFICER,573
2009,INTIMIDATION,231
2009,KIDNAPPING,293
2009,LIQUOR LAW VIOLATION,746
2009,MOTOR VEHICLE THEFT,15482
2009,NARCOTICS,43543
2009,OBSCENITY,21
2009,OFFENSE INVOLVING CHILDREN,2639
2009,OTHER NARCOTIC VIOLATION,7
2009,OTHER OFFENSE,25601
2009,PROSTITUTION,3940
2009,PUBLIC INDECENCY,10
2009,PUBLIC PEACE VIOLATION,3147
2009,ROBBERY,15981
2009,SEX OFFENSE,1268
2009,STALKING,168
2009,THEFT,80977
2009,WEAPONS VIOLATION,4159
2010,ARSON,522
2010,ASSAULT,21537
2010,BATTERY,65403
2010,BURGLARY,26422
2010,CRIM SEXUAL ASSAULT,1319
2010,CRIMINAL DAMAGE,40654
2010,CRIMINAL SEXUAL ASSAULT,80
2010,CRIMINAL TRESPASS,9401
2010,DECEPTIVE PRACTICE,12594
2010,GAMBLING,927
2010,HOMICIDE,438
2010,HUMAN TRAFFICKING,1
2010,INTERFERENCE WITH PUBLIC OFFICER,797
2010,INTIMIDATION,198
2010,KIDNAPPING,314
2010,LIQUOR LAW VIOLATION,737
2010,MOTOR VEHICLE THEFT,19029
2010,NARCOTICS,43398
2010,OBSCENITY,34
2010,OFFENSE INVOLVING CHILDREN,2643
2010,OTHER NARCOTIC VIOLATION,6
2010,OTHER OFFENSE,22012
2010,PROSTITUTION,2484
2010,PUBLIC INDECENCY,7
2010,PUBLIC PEACE VIOLATION,3538
2010,ROBBERY,14275
2010,SEX OFFENSE,1145
2010,STALKING,189
2010,THEFT,76758
2010,WEAPONS VIOLATION,3704
2011,ARSON,504
2011,ASSAULT,20411
2011,BATTERY,60460
2011,BURGLARY,26620
2011,CRIM SEXUAL ASSAULT,1441
2011,CRIMINAL DAMAGE,37331
2011,CRIMINAL SEXUAL ASSAULT,75
2011,CRIMINAL TRESPASS,8659
2011,DECEPTIVE PRACTICE,12754
2011,GAMBLING,736
2011,HOMICIDE,438
2011,INTERFERENCE WITH PUBLIC OFFICER,1047
2011,INTIMIDATION,171
2011,KIDNAPPING,266
2011,LIQUOR LAW VIOLATION,619
2011,MOTOR VEHICLE THEFT,19388
2011,NARCOTICS,38604
2011,OBSCENITY,40
2011,OFFENSE INVOLVING CHILDREN,2448
2011,OTHER NARCOTIC VIOLATION,5
2011,OTHER OFFENSE,20207
2011,PROSTITUTION,2424
2011,PUBLIC INDECENCY,13
2011,PUBLIC PEACE VIOLATION,3095
2011,ROBBERY,13983
2011,SEX OFFENSE,1098
2011,STALKING,182
2011,THEFT,75153
2011,WEAPONS VIOLATION,3880
2012,ARSON,469
2012,ASSAULT,19900
2012,BATTERY,59132
2012,BURGLARY,22844
2012,CRIM SEXUAL ASSAULT,1377
2012,CRIMINAL DAMAGE,35855
2012,CRIMINAL SEXUAL ASSAULT,93
2012,CRIMINAL TRESPASS,8216
2012,DECEPTIVE PRACTICE,13790
2012,GAMBLING,724
2012,HOMICIDE,515
2012,INTERFERENCE WITH PUBLIC OFFICER,1228
2012,INTIMIDATION,156
2012,KIDNAPPING,235
2012,LIQUOR LAW VIOLATION,573
2012,MOTOR VEHICLE THEFT,16490
2012,NARCOTICS,35489
2012,OBSCENITY,26
2012,OFFENSE INVOLVING CHILDREN,2353
2012,OTHER NARCOTIC VIOLATION,6
2012,OTHER OFFENSE,17524
2012,PROSTITUTION,2204
2012,PUBLIC INDECENCY,17
2012,PUBLIC PEACE VIOLATION,3007
2012,ROBBERY,13484
2012,SEX OFFENSE,1089
2012,STALKING,207
2012,THEFT,75464
2012,WEAPONS VIOLATION,3907
2013,ARSON,364
2013,ASSAULT,17972
2013,BATTERY,54006
2013,BURGLARY,17894
2013,CRIM SEXUAL ASSAULT,1249
2013,CRIMINAL DAMAGE,30856
2013,CRIMINAL SEXUAL ASSAULT,107
2013,CRIMINAL TRESPASS,8136
2013,DECEPTIVE PRACTICE,13948
2013,GAMBLING,596
2013,HOMICIDE,431
2013,HUMAN TRAFFICKING,2
2013,INTERFERENCE WITH PUBLIC OFFICER,1281
2013,INTIMIDATION,135
2013,KIDNAPPING,242
2013,LIQUOR LAW VIOLATION,465
2013,MOTOR VEHICLE THEFT,12582
2013,NARCOTICS,34129
2013,OBSCENITY,25
2013,OFFENSE INVOLVING CHILDREN,2523
2013,OTHER NARCOTIC VIOLATION,5
2013,OTHER OFFENSE,18051
2013,PROSTITUTION,1652
2013,PUBLIC INDECENCY,10
2013,PUBLIC PEACE VIOLATION,3135
2013,ROBBERY,11819
2013,SEX OFFENSE,1062
2013,STALKING,154
2013,THEFT,71536
2013,WEAPONS VIOLATION,3245
2014,ARSON,397
2014,ASSAULT,16903
2014,BATTERY,49455
2014,BURGLARY,14569
2014,CONCEALED CARRY LICENSE VIOLATION,15
2014,CRIM SEXUAL ASSAULT,1291
2014,CRIMINAL DAMAGE,27799
2014,CRIMINAL SEXUAL ASSAULT,109
2014,CRIMINAL TRESPASS,7539
2014,DECEPTIVE PRACTICE,15995
2014,GAMBLING,393
2014,HOMICIDE,429
2014,HUMAN TRAFFICKING,3
2014,INTERFERENCE WITH PUBLIC OFFICER,1399
2014,INTIMIDATION,115
2014,KIDNAPPING,220
2014,LIQUOR LAW VIOLATION,397
2014,MOTOR VEHICLE THEFT,9911
2014,NARCOTICS,29118
2014,OBSCENITY,39
2014,OFFENSE INVOLVING CHILDREN,2566
2014,OTHER NARCOTIC VIOLATION,10
2014,OTHER OFFENSE,17020
2014,PROSTITUTION,1625
2014,PUBLIC INDECENCY,10
2014,PUBLIC PEACE VIOLATION,2903
2014,ROBBERY,9800
2014,SEX OFFENSE,1026
2014,STALKING,142
2014,THEFT,61569
2014,WEAPONS VIOLATION,3113
2015,ARSON,453
2015,ASSAULT,17048
2015,BATTERY,48927
2015,BURGLARY,13184
2015,CONCEALED CARRY LICENSE VIOLATION,34
2015,CRIM SEXUAL ASSAULT,1323
2015,CRIMINAL DAMAGE,28677
2015,CRIMINAL SEXUAL ASSAULT,139
2015,CRIMINAL TRESPASS,6401
2015,DECEPTIVE PRACTICE,16492
2015,GAMBLING,310
2015,HOMICIDE,502
2015,HUMAN TRAFFICKING,13
2015,INTERFERENCE WITH PUBLIC OFFICER,1308
2015,INTIMIDATION,123
2015,KIDNAPPING,190
2015,LIQUOR LAW VIOLATION,292
2015,MOTOR VEHICLE THEFT,10068
2015,NARCOTICS,23939
2015,NON-CRIMINAL,1
2015,OBSCENITY,49
2015,OFFENSE INVOLVING CHILDREN,2523
2015,OTHER NARCOTIC VIOLATION,5
2015,OTHER OFFENSE,17566
2015,PROSTITUTION,1322
2015,PUBLIC INDECENCY,14
2015,PUBLIC PEACE VIOLATION,2422
2015,ROBBERY,9638
2015,SEX OFFENSE,1052
2015,STALKING,155
2015,THEFT,57353
2015,WEAPONS VIOLATION,3364
2016,ARSON,516
2016,ASSAULT,18743
2016,BATTERY,50300
2016,BURGLARY,14289
2016,CONCEALED CARRY LICENSE VIOLATION,36
2016,CRIM SEXUAL ASSAULT,1467
2016,CRIMINAL DAMAGE,31018
2016,CRIMINAL SEXUAL ASSAULT,161
2016,CRIMINAL TRESPASS,6306
2016,DECEPTIVE PRACTICE,19443
2016,GAMBLING,189
2016,HOMICIDE,790
2016,HUMAN TRAFFICKING,11
2016,INTERFERENCE WITH PUBLIC OFFICER,936
2016,INTIMIDATION,136
2016,KIDNAPPING,202
2016,LIQUOR LAW VIOLATION,227
2016,MOTOR VEHICLE THEFT,11285
2016,NARCOTICS,13333
2016,NON-CRIMINAL,1
2016,OBSCENITY,51
2016,OFFENSE INVOLVING CHILDREN,2514
2016,OTHER NARCOTIC VIOLATION,4
2016,OTHER OFFENSE,17309
2016,PROSTITUTION,800
2016,PUBLIC INDECENCY,10
2016,PUBLIC PEACE VIOLATION,1607
2016,ROBBERY,11960
2016,SEX OFFENSE,1062
2016,STALKING,176
2016,THEFT,61627
2016,WEAPONS VIOLATION,3450
2017,ARSON,444
2017,ASSAULT,19306
2017,BATTERY,49242
2017,BURGLARY,13001
2017,CONCEALED CARRY LICENSE VIOLATION,69
2017,CRIM SEXUAL ASSAULT,1466
2017,CRIMINAL DAMAGE,29045
2017,CRIMINAL SEXUAL ASSAULT,235
2017,CRIMINAL TRESPASS,6814
2017,DECEPTIVE PRACTICE,19809
2017,GAMBLING,191
2017,HOMICIDE,676
2017,HUMAN TRAFFICKING,9
2017,INTERFERENCE WITH PUBLIC OFFICER,1087
2017,INTIMIDATION,150
2017,KIDNAPPING,190
2017,LIQUOR LAW VIOLATION,191
2017,MOTOR VEHICLE THEFT,11380
2017,NARCOTICS,11683
2017,NON-CRIMINAL,1
2017,OBSCENITY,87
2017,OFFENSE INVOLVING CHILDREN,2464
2017,OTHER NARCOTIC VIOLATION,11
2017,OTHER OFFENSE,17273
2017,PROSTITUTION,735
2017,PUBLIC INDECENCY,10
2017,PUBLIC PEACE VIOLATION,1498
2017,ROBBERY,11881
2017,SEX OFFENSE,1073
2017,STALKING,192
2017,THEFT,64387
2017,WEAPONS VIOLATION,4686
2018,ARSON,373
2018,ASSAULT,20408
2018,BATTERY,49833
2018,BURGLARY,11747
2018,CONCEALED CARRY LICENSE VIOLATION,149
2018,CRIM SEXUAL ASSAULT,1375
2018,CRIMINAL DAMAGE,27823
2018,CRIMINAL SEXUAL ASSAULT,374
2018,CRIMINAL TRESPASS,6909
2018,DECEPTIVE PRACTICE,19995
2018,GAMBLING,201
2018,HOMICIDE,600
2018,HUMAN TRAFFICKING,12
2018,INTERFERENCE WITH PUBLIC OFFICER,1307
2018,INTIMIDATION,169
2018,KIDNAPPING,172
2018,LIQUOR LAW VIOLATION,268
2018,MOTOR VEHICLE THEFT,9985
2018,NARCOTICS,13593
2018,NON-CRIMINAL,1
2018,OBSCENITY,86
2018,OFFENSE INVOLVING CHILDREN,2482
2018,OTHER NARCOTIC VIOLATION,1
2018,OTHER OFFENSE,17272
2018,PROSTITUTION,718
2018,PUBLIC INDECENCY,14
2018,PUBLIC PEACE VIOLATION,1372
2018,ROBBERY,9681
2018,SEX OFFENSE,1272
2018,STALKING,208
2018,THEFT,65291
2018,WEAPONS VIOLATION,5456
2019,ARSON,376
2019,ASSAULT,20624
2019,BATTERY,49526
2019,BURGLARY,9639
2019,CONCEALED CARRY LICENSE VIOLATION,217
2019,CRIM SEXUAL ASSAULT,898
2019,CRIMINAL DAMAGE,26683
2019,CRIMINAL SEXUAL ASSAULT,776
2019,CRIMINAL TRESPASS,6819
2019,DECEPTIVE PRACTICE,19289
2019,GAMBLING,142
2019,HOMICIDE,509
2019,HUMAN TRAFFICKING,15
2019,INTERFERENCE WITH PUBLIC OFFICER,1546
2019,INTIMIDATION,163
2019,KIDNAPPING,173
2019,LIQUOR LAW VIOLATION,232
2019,MOTOR VEHICLE THEFT,8978
2019,NARCOTICS,15080
2019,NON-CRIMINAL,3
2019,OBSCENITY,59
2019,OFFENSE INVOLVING CHILDREN,2484
2019,OTHER NARCOTIC VIOLATION,8
2019,OTHER OFFENSE,16806
2019,PROSTITUTION,681
2019,PUBLIC INDECENCY,11
2019,PUBLIC PEACE VIOLATION,1520
2019,ROBBERY,7995
2019,SEX OFFENSE,1384
2019,STALKING,228
2019,THEFT,62499
2019,WEAPONS VIOLATION,6339
2020,ARSON,588
2020,ASSAULT,18260
2020,BATTERY,41518
2020,BURGLARY,8759
2020,CONCEALED CARRY LICENSE VIOLATION,148
2020,CRIM SEXUAL ASSAULT,75
2020,CRIMINAL DAMAGE,24882
2020,CRIMINAL SEXUAL ASSAULT,1183
2020,CRIMINAL TRESPASS,4176
2020,DECEPTIVE PRACTICE,18625
2020,GAMBLING,25
2020,HOMICIDE,796
2020,HUMAN TRAFFICKING,5
2020,INTERFERENCE WITH PUBLIC OFFICER,654
2020,INTIMIDATION,163
2020,KIDNAPPING,120
2020,LIQUOR LAW VIOLATION,143
2020,MOTOR VEHICLE THEFT,9962
2020,NARCOTICS,7493
2020,NON-CRIMINAL,1
2020,OBSCENITY,58
2020,OFFENSE INVOLVING CHILDREN,2051
2020,OTHER NARCOTIC VIOLATION,6
2020,OTHER OFFENSE,12613
2020,PROSTITUTION,277
2020,PUBLIC INDECENCY,9
2020,PUBLIC PEACE VIOLATION,1272
2020,RITUALISM,1
2020,ROBBERY,7855
2020,SEX OFFENSE,989
2020,STALKING,205
2020,THEFT,41355
2020,WEAPONS VIOLATION,8433
2021,ARSON,530
2021,ASSAULT,20344
2021,BATTERY,40484
2021,BURGLARY,6662
2021,CONCEALED CARRY LICENSE VIOLATION,173
2021,CRIMINAL DAMAGE,25095
2021,CRIMINAL SEXUAL ASSAULT,1541
2021,CRIMINAL TRESPASS,3406
2021,DECEPTIVE PRACTICE,17937
2021,GAMBLING,13
2021,HOMICIDE,813
2021,HUMAN TRAFFICKING,11
2021,INTERFERENCE WITH PUBLIC OFFICER,314
2021,INTIMIDATION,124
2021,KIDNAPPING,87
2021,LIQUOR LAW VIOLATION,184
2021,MOTOR VEHICLE THEFT,10605
2021,NARCOTICS,5419
2021,NON-CRIMINAL,4
2021,OBSCENITY,51
2021,OFFENSE INVOLVING CHILDREN,1979
2021,OTHER NARCOTIC VIOLATION,2
2021,OTHER OFFENSE,13960
2021,PROSTITUTION,95
2021,PUBLIC INDECENCY,4
2021,PUBLIC PEACE VIOLATION,603
2021,ROBBERY,7920
2021,SEX OFFENSE,1123
2021,STALKING,370
2021,THEFT,40824
2021,WEAPONS VIOLATION,8979
2022,ARSON,422
2022,ASSAULT,20814
2022,BATTERY,40966
2022,BURGLARY,7595
2022,CONCEALED CARRY LICENSE VIOLATION,177
2022,CRIMINAL DAMAGE,27250
2022,CRIMINAL SEXUAL ASSAULT,1611
2022,CRIMINAL TRESPASS,4223
2022,DECEPTIVE PRACTICE,17141
2022,GAMBLING,9
2022,HOMICIDE,737
2022,HUMAN TRAFFICKING,12
2022,INTERFERENCE WITH PUBLIC OFFICER,392
2022,INTIMIDATION,184
2022,KIDNAPPING,118
2022,LIQUOR LAW VIOLATION,203
2022,MOTOR VEHICLE THEFT,21472
2022,NARCOTICS,4757
2022,NON-CRIMINAL,5
2022,OBSCENITY,48
2022,OFFENSE INVOLVING CHILDREN,1897
2022,OTHER NARCOTIC VIOLATION,7
2022,OTHER OFFENSE,14622
2022,PROSTITUTION,283
2022,PUBLIC INDECENCY,5
2022,PUBLIC PEACE VIOLATION,712
2022,ROBBERY,8964
2022,SEX OFFENSE,1240
2022,STALKING,454
2022,THEFT,54899
2022,WEAPONS VIOLATION,8781
2023,ARSON,513
2023,ASSAULT,22631
2023,BATTERY,44251
2023,BURGLARY,7488
2023,CONCEALED CARRY LICENSE VIOLATION,205
2023,CRIMINAL DAMAGE,30094
2023,CRIMINAL SEXUAL ASSAULT,1681
2023,CRIMINAL TRESPASS,4722
2023,DECEPTIVE PRACTICE,17503
2023,GAMBLING,15
2023,HOMICIDE,638
2023,HUMAN TRAFFICKING,12
2023,INTERFERENCE WITH PUBLIC OFFICER,586
2023,INTIMIDATION,237
2023,KIDNAPPING,139
2023,LIQUOR LAW VIOLATION,186
2023,MOTOR VEHICLE THEFT,29256
2023,NARCOTICS,5455
2023,NON-CRIMINAL,3
2023,OBSCENITY,42
2023,OFFENSE INVOLVING CHILDREN,1750
2023,OTHER NARCOTIC VIOLATION,2
2023,OTHER OFFENSE,15730
2023,PROSTITUTION,209
2023,PUBLIC INDECENCY,6
2023,PUBLIC PEACE VIOLATION,862
2023,ROBBERY,11050
2023,SEX OFFENSE,1366
2023,STALKING,531
2023,THEFT,57507
2023,WEAPONS VIOLATION,8608
2024,ARSON,481
2024,ASSAULT,23481
2024,BATTERY,46144
2024,BURGLARY,8430
2024,CONCEALED CARRY LICENSE VIOLATION,196
2024,CRIMINAL DAMAGE,28556
2024,CRIMINAL SEXUAL ASSAULT,1611
2024,CRIMINAL TRESPASS,4951
2024,DECEPTIVE PRACTICE,16245
2024,GAMBLING,22
2024,HOMICIDE,596
2024,HUMAN TRAFFICKING,19
2024,INTERFERENCE WITH PUBLIC OFFICER,691
2024,INTIMIDATION,164
2024,KIDNAPPING,97
2024,LIQUOR LAW VIOLATION,196
2024,MOTOR VEHICLE THEFT,21711
2024,NARCOTICS,5990
2024,NON-CRIMINAL,3
2024,OBSCENITY,62
2024,OFFENSE INVOLVING CHILDREN,1686
2024,OTHER NARCOTIC VIOLATION,5
2024,OTHER OFFENSE,17124
2024,PROSTITUTION,307
2024,PUBLIC INDECENCY,9
2024,PUBLIC PEACE VIOLATION,979
2024,ROBBERY,9116
2024,SEX OFFENSE,1251
2024,STALKING,517
2024,THEFT,60529
2024,WEAPONS VIOLATION,7839
2025,ARSON,373
2025,ASSAULT,21559
2025,BATTERY,42534
2025,BURGLARY,9709
2025,CONCEALED CARRY LICENSE VIOLATION,277
2025,CRIMINAL DAMAGE,26203
2025,CRIMINAL SEXUAL ASSAULT,1674
2025,CRIMINAL TRESPASS,5322
2025,DECEPTIVE PRACTICE,14707
2025,GAMBLING,13
2025,HOMICIDE,426
2025,HUMAN TRAFFICKING,15
2025,INTERFERENCE WITH PUBLIC OFFICER,915
2025,INTIMIDATION,143
2025,KIDNAPPING,89
2025,LIQUOR LAW VIOLATION,200
2025,MOTOR VEHICLE THEFT,17230
2025,NARCOTICS,7417
2025,NON-CRIMINAL,3
2025,OBSCENITY,54
2025,OFFENSE INVOLVING CHILDREN,1536
2025,OTHER NARCOTIC VIOLATION,10
2025,OTHER OFFENSE,16738
2025,PROSTITUTION,189
2025,PUBLIC INDECENCY,10
2025,PUBLIC PEACE VIOLATION,1056
2025,ROBBERY,5817
2025,SEX OFFENSE,1307
2025,STALKING,570
2025,THEFT,55029
2025,WEAPONS VIOLATION,5444
2026,ARSON,41
2026,ASSAULT,2570
2026,BATTERY,5371
2026,BURGLARY,1328
2026,CONCEALED CARRY LICENSE VIOLATION,23
2026,CRIMINAL DAMAGE,3183
2026,CRIMINAL SEXUAL ASSAULT,214
2026,CRIMINAL TRESPASS,772
2026,DECEPTIVE PRACTICE,1674
2026,HOMICIDE,47
2026,HUMAN TRAFFICKING,5
2026,INTERFERENCE WITH PUBLIC OFFICER,154
2026,INTIMIDATION,41
2026,KIDNAPPING,13
2026,LIQUOR LAW VIOLATION,26
2026,MOTOR VEHICLE THEFT,2413
2026,NARCOTICS,998
2026,OBSCENITY,7
2026,OFFENSE INVOLVING CHILDREN,200
2026,OTHER OFFENSE,2139
2026,PROSTITUTION,18
2026,PUBLIC INDECENCY,6
2026,PUBLIC PEACE VIOLATION,143
2026,ROBBERY,627
2026,SEX OFFENSE,157
2026,STALKING,61
2026,THEFT,6335
2026,WEAPONS VIOLATION,626
